User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
Falcon274,None,None,22,70,0,0,1452,32125,316,
Theultracorgi,,2013,12,503,0,8,1075,11500,316,
amaier9879,2611,2018,0,5,0,0,1426,19429,316,1650
Okeegan55,11,2014,1,0,0,1,1648,35991,316,1591
Mike_Schreiber,None,None,432,74,1,84,1054,21241,316,
Kpchem,,2008,32,286,0,29,1013,18493,316,
ElliottB,45,2015,5,5,0,14,724,9722,316,1601
tchatow,None,None,10,14,0,1,1219,21758,315,
Justin_Montois,3015,2005,307,30,3,43,980,16724,315,1760
Onur4,8079,2019,47,642,2,53,1397,16683,315,
Maximillian,6328,2014,610,148,1,53,1239,26306,315,1473
Zem,,2010,26,60,1,17,1655,22513,315,
HeyAndrewB,5568,2016,21,343,0,5,3158,32712,315,1472
msonnier,2992,2013,20,1,0,8,1497,25567,315,1632
Ian_Curtis,1778,2004,61,92,0,15,570,11447,314,1609
charvey83,829,2007,0,10,0,0,1379,26015,314,1693
beedward,6500,None,15,1,0,7,1706,28747,314,1584
RN123,6804,None,0,7,0,1,3163,25767,314,1513
Lexeo,4272,2014,95,77,2,52,2014,26453,313,1716
hli,1678,,18,18,0,4,810,10817,313,1887
FunkyRobotClub,5985,2012,21,35,0,13,1528,20475,313,1689
UnofficialForth,1646,2010,1075,324,11,355,1977,24600,313,1637
Max_Boord,,2002,25,367,0,22,1145,22195,312,
anon72319067,None,None,0,0,0,0,745,8768,312,
Ankoch,836,,2,5,0,6,1808,24485,312,1729
CupOfCocoa,,2016,306,602,1,111,877,15149,312,
Mr.Mascot,3674 Cloverbots,2011,730,493,7,1566,1231,38706,311,
PaytonB,33  ,2019,7,24,0,2,2404,49120,311,
coderkevin,2357,2012,82,415,1,65,1529,29866,311,1460
ks68,3260,2014,0,0,0,0,39,237,311,1460
JDeal2851,2851,2016,2,31,0,1,1301,18040,311,1792
mdurrani834,834,None,471,913,6,162,2908,39666,311,1597
Darkseer54,1086,2013,183,37,0,3,478,8061,311,1503
Maxcr1,2169,2017,141,410,9,95,2009,27162,311,1543
Ford,868,2016,0,0,0,0,1509,21636,310,1666
